No,x,y,z,avg_M_x,avg_M_y,avg_M_z,avg_M_tot
162,1,0,0,-8.905,-15.729,-38.415,42.454
163,1,0,0,-6.962,-15.549,-39.9,43.385
164,1,0,0,-8.66,-15.272,-39.898,43.59
165,1,0,0,-8.231,-15.416,-39.734,43.407
166,1,0,0,-8.895,-17.883,-40.912,45.526
167,1,0,0,-8.895,-17.883,-40.912,45.526
168,1,0,0,-8.909,-16.156,-39.245,43.365
169,1,0,0,-9.922,-15.43,-39.734,43.764
170,1,0,0,-7.627,-16.011,-38.252,42.163
171,1,0,0,-8.093,-14.841,-39.068,42.568
172,1,0,0,-8.869,-17.184,-38.427,43.019
173,1,0,0,-9.004,-17.333,-38.263,42.96
174,1,0,0,-8.18,-16.881,-38.92,43.205
175,1,0,0,-8.398,-18.931,-38.112,43.376
176,1,0,0,-9.73,-17.038,-39.087,43.735
177,1,0,0,-8.468,-16.88,-39.251,43.558
178,1,0,0,-9.226,-19.523,-37.952,43.665
179,1,0,0,-8.868,-18.616,-40.422,45.378
180,1,0,0,-8.591,-16.32,-37.429,41.726
181,1,0,0,-9.267,-18.063,-38.27,43.321
182,1,0,0,-6.873,-17.756,-37.937,42.447
183,1,0,0,-8.416,-18.204,-38.106,43.061
184,1,0,0,-8.114,-18.644,-37.614,42.758
185,1,0,0,-9.758,-20.121,-36.966,43.204
186,1,0,0,-6.725,-18.19,-38.106,42.756
187,1,0,0,-8.969,-18.501,-37.943,43.156
188,2,0,0,-5.261,-16.973,-41.399,45.052
189,2,0,0,-6.971,-15.972,-41.06,44.605
190,2,0,0,-7.777,-17.151,-40.41,44.582
191,2,0,0,-5.857,-16.384,-42.385,45.817
192,2,0,0,-6.813,-17.127,-41.731,45.621
193,2,0,0,-7.12,-16.111,-41.722,45.288
194,2,0,0,-7.393,-16.263,-41.393,45.083
195,2,0,0,-6.838,-16.109,-41.722,45.244
196,2,0,0,-5.273,-16.249,-41.062,44.474
197,2,0,0,-6.528,-16.126,-40.07,43.684
198,2,0,0,-7.478,-17.59,-40.083,44.407
199,2,0,0,-5.816,-17.556,-41.735,45.649
200,2,0,0,-8.56,-15.672,-42.875,46.445
201,2,0,0,-6.534,-17.839,-42.894,46.913
202,2,0,0,-5.336,-18.164,-39.262,43.588
203,2,0,0,-7.507,-17.57,-41.735,45.901
204,2,0,0,-6.805,-17.133,-41.235,45.169
205,2,0,0,-7.789,-17.572,-41.735,45.948
206,2,0,0,-8.061,-17.295,-40.741,44.988
207,2,0,0,-7.315,-19.178,-41.088,45.93
208,2,0,0,-8.33,-18.022,-41.078,45.624
209,2,0,0,-7.468,-18.599,-40.918,45.562
210,2,0,0,-8.146,-19.338,-40.429,45.55
211,2,0,0,-6.762,-18.88,-41.251,45.867
212,2,0,0,-7.009,-20.051,-40.93,46.113
213,2,0,0,-8.33,-18.022,-41.078,45.624
214,2,0,0,-7.639,-17.721,-41.406,45.682
215,2,0,0,-6.611,-19.172,-41.088,45.82
216,2,0,0,-7.591,-18.039,-39.096,43.721
217,2,0,0,-8.444,-18.184,-39.758,44.527
218,2,0,0,-7.355,-18.722,-42.736,47.233
219,2,0,0,-7.639,-17.721,-41.406,45.682
220,2,0,0,-5.9,-18.025,-39.095,43.453
221,2,0,0,-7.468,-18.599,-40.918,45.562
222,2,0,0,-7.482,-18.589,-41.744,46.304
223,2,0,0,-7.778,-16.864,-40.077,44.171
224,2,0,0,-8.023,-18.466,-40.256,45.01
225,2,0,0,-6.908,-17.733,-39.919,44.223
226,2,0,0,-7.685,-20.076,-39.278,44.776
227,2,0,0,-7.058,-18.873,-42.077,46.652
228,2,0,0,-8.257,-18.787,-37.946,43.139
229,2,0,0,-7.729,-18.615,-39.761,44.578
230,2,0,0,-7.711,-19.343,-39.768,44.89
231,2,0,0,-7.759,-17.879,-40.416,44.87
232,2,0,0,-8.136,-18.915,-39.268,44.34
233,2,0,0,-6.754,-18.599,-40.422,45.005
234,2,0,0,-8.283,-18.769,-39.432,44.45
235,2,0,0,-6.89,-18.46,-39.925,44.523
236,2,0,0,-8.97,-19.503,-39.439,44.902
237,2,0,0,-7.966,-20.222,-39.445,45.037
238,2,0,0,-6.741,-18.894,-40.094,44.833
239,2,0,0,-7.76,-18.164,-40.914,45.433
240,2,0,0,-6.587,-18.759,-39.102,43.866
241,2,0,0,-6.199,-18.732,-41.084,45.576
242,2,0,0,-6.88,-19.469,-40.76,45.692
243,2,0,0,-7.548,-20.931,-40.773,46.449
244,2,0,0,-7.308,-19.469,-41.09,46.053
245,2,0,0,-6.607,-18.745,-40.258,44.897
246,2,0,0,-7.273,-19.493,-39.108,44.298
247,2,0,0,-5.697,-20.07,-38.452,43.747
248,2,0,0,-7.411,-20.068,-39.774,45.162
249,2,0,0,-6.745,-19.321,-40.924,45.755
250,2,0,0,-5.987,-20.353,-39.281,44.644
251,2,0,0,-7.294,-19.479,-40.264,45.319
252,2,0,0,-7.749,-18.601,-40.918,45.61
253,2,0,0,-6.166,-19.469,-40.264,45.148
254,2,0,0,-7.03,-18.605,-40.092,44.754
255,2,0,0,-6.998,-19.343,-39.272,44.333
256,2,0,0,-6.878,-19.184,-40.262,45.126
257,2,0,0,-7.708,-18.916,-38.938,43.97
258,2,0,0,-8.456,-18.176,-40.418,45.117
259,2,0,0,-7.591,-19.184,-40.758,45.682
260,2,0,0,-6.026,-19.325,-40.098,44.918
261,2,0,0,-4.851,-20.206,-38.619,43.855
262,2,0,0,-7.452,-18.896,-40.425,45.241
263,2,0,0,-4.876,-19.76,-39.441,44.383
264,2,0,0,-6.501,-18.577,-42.074,46.45
265,2,0,0,-7.291,-18.765,-39.102,43.98
266,2,0,0,-8.005,-19.194,-40.262,45.316
267,2,0,0,-5.604,-18.033,-38.269,42.675
268,2,0,0,-7.706,-18.631,-38.44,43.406
269,2,0,0,-6.178,-18.746,-39.928,44.54
270,2,0,0,-7.554,-19.782,-39.441,44.766
271,2,0,0,-8.005,-19.194,-40.262,45.316
272,2,0,0,-7.614,-18.74,-41.415,46.09
273,2,0,0,-6.481,-18.591,-40.918,45.408
274,2,0,0,-7.259,-19.502,-38.282,43.572
275,2,0,0,-7.711,-19.343,-39.768,44.89
276,2,0,0,-7.458,-18.176,-39.758,44.347
277,2,0,0,-7.263,-20.502,-39.943,45.481
278,2,0,0,-6.883,-18.751,-39.928,44.645
279,2,0,0,-6.119,-20.217,-38.619,44.018
280,2,0,0,-6.476,-19.596,-42.083,46.871
281,2,0,0,-6.601,-18.749,-39.928,44.602
282,2,0,0,-7.605,-18.029,-39.922,44.459
283,2,0,0,-6.623,-18.448,-40.751,45.22
284,2,0,0,-7.601,-18.462,-40.256,44.935
285,2,0,0,-7.468,-18.599,-40.918,45.562
286,2,0,0,-7.261,-20.216,-39.445,44.915
287,2,0,0,-7.011,-19.62,-40.431,45.484
